indicador;nivel_territorial;abertura_territorial;var_de_abertura1;categoria_de_abertura1;var_de_abertura2;categoria_de_abertura2;maio;junho;maio_para_junho;julho;junho_para_julho;agosto;julho_para_agosto;setembro;agosto_para_setembro;outubro;setembro_para_outubro;novembro;outubro_para_novembro
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Cor ou raça;Preta ou parda;-;-;0,404428159;0,389545789;-;0,392372512;-;0,396607342;-;0,392025109;-;0,395956138;-;0,397644334;-
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;Total;-;-;0,05016184;0,049489849;-;0,049264286;-;0,048213124;-;0,047863714;-;0,049080333;-;0,048031417;-
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;14 a 29 anos;-;-;0,160955324;0,158818589;-;0,158492213;-;0,1554247;-;0,154379933;-;0,158682777;-;0,15553046;-
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;30 a 49 anos;-;-;0;0;-;0;-;0;-;0;-;0;-;0;-
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;50 a 59 anos;-;-;0;0;-;0;-;0;-;0;-;0;-;0;-
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;60 anos ou mais;-;-;0;0;-;0;-;0;-;0;-;0;-;0;-
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Total;-;-;0,05016184;0,049489849;-;0,049264286;-;0,048213124;-;0,047863714;-;0,049080333;-;0,048031417;-
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;0,610185205;0,582798089;-;0,58089817;-;0,579136543;-;0,580154862;-;0,581409336;-;0,584178638;-
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Fundamental completo ao médio incompleto;-;-;0,613271477;0,592044837;-;0,586408765;-;0,592618635;-;0,59543404;-;0,612064991;-;0,616661899;-
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Médio completo ao superior incompleto;-;-;0,396381127;0,391078615;-;0,391213678;-;0,392697415;-;0,390130371;-;0,39368991;-;0,39315449;-
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Superior completo ou pós-graduação;-;-;1,169615107;1,178111974;-;1,182303462;-;1,187478235;-;1,187919262;-;1,181621864;-;1,181832028;-
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Sexo;Total;-;-;100;100;Aumento;100;Queda;100;Queda;100;Aumento;100;Queda;100;Queda
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Sexo;Homem;-;-;48,36717481;48,38492764;-;48,38902107;-;48,39262371;-;48,38064397;-;48,3821948;-;48,38479334;-
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Sexo;Mulher;-;-;51,63282519;51,61507236;-;51,61097893;-;51,60737629;-;51,61935603;-;51,6178052;-;51,61520666;-
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Cor ou raça;Total1;-;-;100;100;-;100;-;100;-;100;-;100;-;100;-
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Cor ou raça;Branca;-;-;44,1048906;43,98146243;-;44,00592463;-;44,1226205;-;44,12906391;-;44,10314491;-;44,12258974;-
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Cor ou raça;Preta ou parda;-;-;54,67966073;54,89133537;-;54,84922909;-;54,76084495;-;54,77611235;-;54,80818668;-;54,76919303;-
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;Total;-;-;100;100;-;100;-;100;-;100;-;100;-;100;-
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;14 a 29 anos;-;-;31,16507034;31,16124461;-;31,08309538;-;31,02024597;-;31,0038444;-;30,92984266;-;30,88232192;-
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;30 a 49 anos;-;-;37,20185485;37,17885524;-;37,19649386;-;37,2046418;-;37,1877894;-;37,202863;-;37,2028671;-
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;50 a 59 anos;-;-;13,98473275;13,98339363;-;13,99658813;-;14,00583363;-;14,00565487;-;14,0172871;-;14,02343519;-
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;60 anos ou mais;-;-;17,64834207;17,67650653;-;17,72382263;-;17,76927861;-;17,80271133;-;17,85000725;-;17,89137579;-
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Total;-;-;100;100;-;100;-;100;-;100;-;100;-;100;-
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;26,83013023;27,30928468;-;27,36758474;-;27,38857944;-;27,44080358;-;27,41975822;-;27,34955789;-
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Fundamental completo ao médio incompleto;-;-;19,81921519;19,74842304;-;19,59679762;-;19,57546617;-;19,5481077;-;19,57149387;-;19,60012424;-
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Médio completo ao superior incompleto;-;-;37,0217712;36,79821624;-;36,81313933;-;36,710717;-;36,71879306;-;36,7665751;-;36,77065921;-
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Superior completo ou pós-graduação;-;-;16,32888338;16,14407604;-;16,22247831;-;16,32523739;-;16,29229566;-;16,24217281;-;16,27965865;-
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Sexo;Total;-;-;0;0;-;0;-;0;-;0;-;0;-;0;-
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Sexo;Homem;-;-;0,05409265;0,051815846;-;0,053056574;-;0,051874883;-;0,051636773;-;0,051701353;-;0,05206488;-
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Sexo;Mulher;-;-;0,050671422;0,048573136;-;0,049744371;-;0,048643467;-;0,048396968;-;0,048460506;-;0,048806323;-
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Cor ou raça;Total1;-;-;0;0;-;0;-;0;-;0;-;0;-;0;-
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Cor ou raça;Branca;-;-;0,493954156;0,476468753;-;0,47843626;-;0,480454144;-;0,475863882;-;0,48084849;-;0,480929535;-
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Cor ou raça;Preta ou parda;-;-;0,400935911;0,384789565;-;0,387376137;-;0,39150094;-;0,387428676;-;0,390499862;-;0,392858005;-
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;Total;-;-;0;0;-;0;-;0;-;0;-;0;-;0;-
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;14 a 29 anos;-;-;0,110793484;0,10932874;-;0,109227927;-;0,107211576;-;0,106516219;-;0,109602444;-;0,107499043;-
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;30 a 49 anos;-;-;0,05016184;0,049489849;-;0,049264286;-;0,048213124;-;0,047863714;-;0,049080333;-;0,048031417;-
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;50 a 59 anos;-;-;0,05016184;0,049489849;-;0,049264286;-;0,048213124;-;0,047863714;-;0,049080333;-;0,048031417;-
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;60 anos ou mais;-;-;0,05016184;0,049489849;-;0,049264286;-;0,048213124;-;0,047863714;-;0,049080333;-;0,048031417;-
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Total;-;-;0;0;-;0;-;0;-;0;-;0;-;0;-
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;0,610629657;0,581684042;-;0,578948832;-;0,576987057;-;0,578369988;-;0,579230782;-;0,581699972;-
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Fundamental completo ao médio incompleto;-;-;0,602706179;0,581943505;-;0,575549367;-;0,582254563;-;0,585127291;-;0,600713258;-;0,605348437;-
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Médio completo ao superior incompleto;-;-;0,394383315;0,388825899;-;0,39065987;-;0,391274675;-;0,388482702;-;0,392838109;-;0,39354799;-
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Superior completo ou pós-graduação;-;-;1,170843062;1,180458484;-;1,184449476;-;1,190438531;-;1,190824989;-;1,184809479;-;1,184633457;-
Pessoas ocupadas (mil pessoas);País;Brasil;Sexo;Total;-;-;84404,20112;83449,13474;Queda;81483,6173;Queda;82141,16497;Aumento;82934,24075;Aumento;84134,09221;Aumento;84660,81822;Aumento
Pessoas ocupadas (mil pessoas);País;Brasil;Sexo;Homem;-;-;48283,8929;47914,33643;-;47468,93584;-;48013,78877;-;48557,51288;-;49192,31559;-;49446,4716;-
Pessoas ocupadas (mil pessoas);País;Brasil;Sexo;Mulher;-;-;36120,30822;35534,79831;-;34014,68146;-;34127,3762;-;34376,72787;-;34941,77662;-;35214,34662;-
Pessoas ocupadas (mil pessoas);País;Brasil;Cor ou raça;Total1;-;-;84404,20112;83449,13474;-;81483,6173;-;82141,16497;-;82934,24075;-;84134,09221;-;84660,81822;-
Pessoas ocupadas (mil pessoas);País;Brasil;Cor ou raça;Branca;-;-;39243,10209;38669,9751;-;37942,60263;-;38255,42899;-;38647,63468;-;39127,88708;-;39343,04107;-
Pessoas ocupadas (mil pessoas);País;Brasil;Cor ou raça;Preta ou parda;-;-;44114,75039;43831,79941;-;42624,28723;-;42956,59559;-;43361,10876;-;44093,84901;-;44385,7662;-
Pessoas ocupadas (mil pessoas);País;Brasil;Grupos de idade;Total;-;-;84404,20112;83449,13474;-;81483,6173;-;82141,16497;-;82934,24075;-;84134,09221;-;84660,81822;-
Pessoas ocupadas (mil pessoas);País;Brasil;Grupos de idade;14 a 29 anos;-;-;21503,08883;21228,22387;-;20667,26208;-;20863,14261;-;21215,9984;-;21542,30539;-;21581,52891;-
Pessoas ocupadas (mil pessoas);País;Brasil;Grupos de idade;30 a 49 anos;-;-;43745,85723;43234,67117;-;42492,23392;-;42792,79626;-;43144,48739;-;43745,81261;-;44056,4614;-
Pessoas ocupadas (mil pessoas);País;Brasil;Grupos de idade;50 a 59 anos;-;-;13574,29035;13484,95208;-;13131,24679;-;13205,82416;-;13277,13608;-;13427,67252;-;13550,08135;-
Pessoas ocupadas (mil pessoas);País;Brasil;Grupos de idade;60 anos ou mais;-;-;5580,964713;5501,287618;-;5192,874501;-;5279,401947;-;5296,618883;-;5418,301682;-;5472,746561;-
Pessoas ocupadas (mil pessoas);País;Brasil;Nível de instrução;Total;-;-;84404,20112;83449,13474;-;81483,6173;-;82141,16497;-;82934,24075;-;84134,09221;-;84660,81822;-
Pessoas ocupadas (mil pessoas);País;Brasil;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;15389,78974;15333,10652;-;14878,31752;-;14793,48082;-;14853,90891;-;14943,38762;-;14981,6474;-
Pessoas ocupadas (mil pessoas);País;Brasil;Nível de instrução;Fundamental completo ao médio incompleto;-;-;13072,84679;12846,52352;-;12367,61312;-;12563,67939;-;12639,42659;-;12961,11907;-;13036,66612;-
Pessoas ocupadas (mil pessoas);País;Brasil;Nível de instrução;Médio completo ao superior incompleto;-;-;35572,09232;35169,3348;-;34338,26243;-;34635,01361;-;35132,26286;-;35824,74012;-;36109,75835;-
